reprate	power				total attenuation
100	9.52	45	40	0	85
200	19.11	45	40	0	85
300	28.9	45	40	0	85
400	38.69	45	40	0	85
500	47.85	45	40	0	85
600	57.59	45	40	0	85
700	65.73	45	40	0	85
800	74.1	45	40	0	85
900	87.3	45	40	0	85
1000	102.1	45	40	0	85
100	1.915	30	40	7	77
200	3.846	30	40	7	77
300	5.767	30	40	7	77
400	7.71	30	40	7	77
500	9.57	30	40	7	77
600	11.56	30	40	7	77
700	13.39	30	40	6.95	76.95
800	15.34	30	40	6.75	76.75
900	17.12	30	40	6.15	76.15
1000	19.12	30	40	6.76	76.76
100	1.33	30	40	8	78
200	2.652	30	40	8	78
300	3.97	30	40	8	78
400	5.29	30	40	8	78
500	6.59	30	40	8	78
600	7.99	30	40	8	78
700	9.28	30	40	7.7	77.7
800	10.64	30	40	7.64	77.64
900	11.96	30	40	7.75	77.75
1000	13.32	30	40	7.96	77.96
100	0.738	30	40	10	80
200	1.468	30	40	10	80
300	2.199	30	40	10	80
400	2.939	30	40	10	80
500	3.623	30	40	10	80
600	4.42	30	40	9.87	79.87
700	5.17	30	40	9.78	79.78
800	5.89	30	40	9.73	79.73
900	6.63	30	40	9.92	79.92
1000	7.37	30	40	10.14	80.14
