rep_rate,acc_score,fit_mu,fit_var,0,1,2,3,4,5,6
100,,1.343181098,1.45E-05,0.262033162,0.348398261,0.234626529,0.106245976,0.035656793,0.011067289,0.00197199
200,0.984385061,1.377501403,5.86E-05,0.254056225,0.345220884,0.243413655,0.110401606,0.03437751,0.010080321,0.002449799
300,0.98068255,1.366435083,8.39E-05,0.257706237,0.343179074,0.235251509,0.111146881,0.038832998,0.010865191,0.003018109
400,0.953316162,1.387055029,3.34E-05,0.247831325,0.350281124,0.238634538,0.111526104,0.038393574,0.010843373,0.00248996
500,0.952028332,1.373890377,2.74E-05,0.251606426,0.350923695,0.238433735,0.110240964,0.035582329,0.010160643,0.003052209
600,0.939150032,1.39019562,0.000107973,0.248370221,0.347243461,0.246961771,0.107122736,0.036177062,0.011710262,0.002414487
700,0.929008371,1.371802279,9.87E-05,0.25141129,0.35375,0.239354839,0.11108871,0.033024194,0.008991935,0.002379032
800,0.914842241,1.345844041,0.000153805,0.256606061,0.358424242,0.237939394,0.104282828,0.031474747,0.009292929,0.001979798
900,0.900998068,1.381761418,0.000751686,0.242064777,0.36437247,0.24534413,0.103441296,0.034574899,0.008947368,0.001255061
1000,0.880714746,1.410114727,0.002324967,0.227188755,0.376465863,0.245702811,0.110401606,0.031967871,0.00751004,0.000763052
