rep_rate,acc_score,fit_mu,fit_var,0,1,2,3,4,5,6,7,8,9,10
100,,3.302200731,9.91E-05,0.035748753,0.12421586,0.199453112,0.220564581,0.179749075,0.12248673,0.066310117,0.03309474,0.012948367,0.003900595,0.001528068
200,0.972488135,3.326262778,1.66E-05,0.035742972,0.119678715,0.199518072,0.21939759,0.183815261,0.122248996,0.068393574,0.030963855,0.013493976,0.004819277,0.001927711
300,0.974660124,3.329135026,0.000154452,0.035090543,0.120764588,0.199396378,0.218108652,0.179557344,0.125794769,0.06804829,0.032555332,0.013762575,0.004305835,0.002615694
400,0.947791811,3.346883911,0.000120645,0.033815261,0.115702811,0.200401606,0.219638554,0.186184739,0.122891566,0.067148594,0.034658635,0.013895582,0.00373494,0.001927711
500,0.953181562,3.342853515,0.000122773,0.034497992,0.117791165,0.200722892,0.216706827,0.182449799,0.124618474,0.069879518,0.032931727,0.013373494,0.004578313,0.002449799
600,0.948194031,3.397012254,0.000401756,0.032997988,0.111790744,0.197585513,0.215895372,0.188289738,0.132032193,0.067484909,0.032072435,0.014607646,0.004547284,0.002696177
700,0.941436731,3.357530635,0.001268624,0.024354839,0.118104839,0.202782258,0.218387097,0.194879032,0.126935484,0.064798387,0.032701613,0.01016129,0.004758065,0.002137097
800,0.923417263,3.358486933,0.006605282,0.017252525,0.110666667,0.206141414,0.23159596,0.211757576,0.125050505,0.053858586,0.029616162,0.009535354,0.003070707,0.001454545
900,0.909017778,3.320250405,0.012572664,0.010647773,0.11,0.211417004,0.250080972,0.213036437,0.12388664,0.051255061,0.019878543,0.00708502,0.002105263,0.000607287
1000,0.902823586,3.256468056,0.027606123,0.008192771,0.108032129,0.219156627,0.270200803,0.227068273,0.11124498,0.036506024,0.013373494,0.004417671,0.001646586,0.000160643
